Manufactor,Year,Model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
מרצדס,2008, C-Class,4,אוטומטית,2000,דיזל,מונית,פרטית,באר שבע והסביבה,באר שבע,14000.0,3,2024-05-28,2024-06-04,"רכב חסכוני ומפנק,מנוע דיזל 200 סמק,יש בעיה קטנה בגיר,צריך להחליף חיישן.מנוע נעובד כמו שעון.אפשרות להחלפה.בהזדמנות.צמיגים כמעט חדש",תכלת,460,
מרצדס,2012, C-Class,7,אוטומטית,1800,בנזין,פרטית,פרטית,גליל ועמקים,ראש פינה,50000.0,4,2024-05-27,2024-06-04,"רכב במצב מעולה דגם ספורט ברישיון מנוע 1800 טורבו בנזין גיר 7 הילוכים 
חזק חסכוני סלון עור חלון גג הרכב מושחר ומונמך אחרי טיפול ופלגים",שחור,176000,
מרצדס,2009, C-Class,10,אוטומטית,2100,דיזל,מונית,פרטית,קריות,רכסים,1.0,4,2024-04-25,2024-06-04,"לפירוק או לחלקים לפי דרישה .
רכב תקין אחר תאונה והורד מהכביש.לא בשבת.",לבן פנינה,700000,
מרצדס,2010, S-Class,6,טיפטרוניק,3500,בנזין,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,71000.0,9,2024-03-03,2024-06-05,מושבי עור שחור חשמלי כולל חימום קירור וזיכרון וילונות חשמלי כולל שילטה למושבים מאחור תא מטען חשמלי חלון בגג סנ רוף חיישנים מצלמות מערכת אולפן קאר פליי בקרה סטייה מנתיב פנסי LED מפתח חכם קילס תאורות אווירה ראיית לילה מצלמות מסכים מולטימדיה טלפון דגם לונג AMG אפשרות החלפה,שחור,270000,
מרצדס,2018, C-Class קופה,3,אוטומטית,2000,בנזין,פרטית,פרטית,כרמיאל והסביבה,כרמיאל,215000.0,8,2024-04-30,2024-04-30,"מרצדס c300 coupe 2018
צבע יחיד במינו, רכב נדיר!
רכב מסובב ראשים, בין הרכבים השמורים ביותר שיש, מתחייב על כל הבדיקה. כיסאות עור שמפניה יוקרתיים, ומלא מלא פינוקים. הוחלף צמיגי לפני שבוע צמיגי מישלן ראנפלט ב 5 אלף שקל. טסט לשנה שלמה עד אפריל 25

• יד 03
• 90,000 ק״מ
•245 כוח סוס 
•מנוע 2000 טורבו
•ללא תאונות, מכות, שריטות
•עבר טיפולים בזמן

גמיש טיפה לרציניים במעמד המכירה",כסוף,93000,328
מרצדס,2001, S-Class,10,אוטומטית,5000,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,אום אל פחם,25000.0,4,2023-06-07,2024-02-11,"רכב שמור פרטים בטלפון לרצנים בלבד
המחיר סופי",זהב,,
מרצדס,2022, S-Class,1,אוטומטית,3000,בנזין,פרטית,פרטית,באר שבע והסביבה,קרית גת,920000.0,4,2024-01-20,2024-01-21,"מרצדס-בנץ S-class
4X4 Plat Plus S 500 אוט׳ בנזין 3.0 (435 כ״ס) 
אוטו שמור בקנאות.
נהג יחיד, הרכב ללא שריטות.
חונה בחנייה מקורה.
לרציניים בלבד!!",כסוף,40000,239
מרצדס,2018, CLA,3,אוטומטית,1600,בנזין,פרטית,פרטית,נס ציונה - רחובות,נס ציונה,146000.0,3,2023-06-02,2023-12-03,"מרצדס cla דגם אורבן הכי מפואר ומבוקש,
עשתה עכשיו טיפול גדול+ מצברים חדשים , מטופלת ספר טיפולים , יד 02.
טסט ארוך 4 צמיגי רנפלט חדשים.
ללא תאונות וללא עבר ביטוחי!!
רכב חלומי מהמם",שחור,92000,
מרצדס,2009, S-Class,2,אוטומטית,3500,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,אום אל פחם,100000.0,6,2023-09-24,2023-10-13,"טסט 10/2024 רכב שמור מטופל רק בחברת מרצדס יבוא אישי רכב מדגם LONGE הארוך .גוף חיצוני שנת 2010 . חלון גג נפתח . מנורות LED חלונות וגם חלון אחורי עם ווילון אלקטרוני וחשוב שכל הדלתות עם נעילה וואקום .וכל הגוף החיצוני של שנת 2010 החדש.
גובה הרכב משתנה חשמלי . עם ABS. כל מזגנים עובדים . וכל החשמל ברכב עובד.4 בוכנות גז למרצדס . גובה רכב משתנה אוטומטי לפי הכביש",אפור מטאלי,256000,
מרצדס,2009, E-Class,5,אוטומטית,3000,בנזין,פרטית,פרטית,טבריה והסביבה,מגאר,55000.0,4,2023-09-12,2023-09-12,רכב טוב ויפה מטופל,אפור,190000,
